
Dataset,Algorithm,Ratio,Number,Budget,TR Benefit,TPs Benefit,TR Time,TPs Time,cp Time,KeyLen,
TDrive,BBOM,1.0,52,1000,9537,29.038461538461547,0,0,0,0,
TDrive,BBOM,1.0,52,1300,11001,167.21153846153834,0,0,0,0,
TDrive,BBOM,1.0,52,1600,13017,251.44230769230762,0,0,0,0,
TDrive,BBOM,1.0,52,1900,14423,389.6153846153845,0,0,0,0,
TDrive,BBOM,1.0,52,2200,16097,473.8461538461538,1,0,0,0,
TDrive,BBOM,1.0,52,2500,17354,612.0192307692307,0,0,0,0,
TDrive,BBOM,1.0,52,2800,18191,804.1346153846152,2,0,1,0,
TDrive,BBOM,1.0,52,3100,18922,942.3076923076924,0,0,0,0,
TDrive,BBOM,1.0,52,3400,19342,1080.480769230769,1,0,0,0,

TDrive,NSGAII,1.0,52,1000,8980,82.98076923076917,218,0,218,0,
TDrive,NSGAII,1.0,52,1300,10929,167.21153846153834,220,0,220,0,
TDrive,NSGAII,1.0,52,1600,12322,305.38461538461524,220,0,220,0,
TDrive,NSGAII,1.0,52,1900,14062,389.6153846153845,220,1,219,0,
TDrive,NSGAII,1.0,52,2200,15311,473.8461538461538,217,0,217,0,
TDrive,NSGAII,1.0,52,2500,16360,665.9615384615383,218,0,218,0,
TDrive,NSGAII,1.0,52,2800,16888,804.1346153846152,218,0,218,0,
TDrive,NSGAII,1.0,52,3100,17309,1050.1923076923076,220,0,219,0,
TDrive,NSGAII,1.0,52,3400,17005,1350.1923076923076,219,0,219,0,

Dataset,Algorithm,Ratio,Number,Budget,TR Benefit,TPs Benefit,TR Time,TPs Time,cp Time,KeyLen,
Knapsack,dp,---,200,200,1984,110.0,0,0,0,0,
Knapsack,dp,---,200,400,2798,280.0,0,0,0,0,
Knapsack,dp,---,200,600,3399,450.0,0,0,0,0,
Knapsack,dp,---,200,800,3898,630.0,0,0,0,0,
Knapsack,dp,---,200,1000,4397,810.0,0,0,0,0,

Knapsack,BBOM,---,200,200,1984,110.0,0,0,0,0,
Knapsack,BBOM,---,200,400,2660,280.0,0,0,0,0,
Knapsack,BBOM,---,200,600,3378,450.0,0,0,0,0,
Knapsack,BBOM,---,200,800,3885,630.0,0,0,0,0,
Knapsack,BBOM,---,200,1000,4397,810.0,0,0,0,0,

Knapsack,NSGAII,---,200,200,1899,110.0,0,0,0,0,
Knapsack,NSGAII,---,200,400,2499,290.0,0,0,0,0,
Knapsack,NSGAII,---,200,600,2400,490.0,0,0,0,0,
Knapsack,NSGAII,---,200,800,2491,680.0,0,0,0,0,
Knapsack,NSGAII,---,200,1000,2698,880.0,0,0,0,0,
Dataset,Algorithm,Ratio,Number,Budget,TR Benefit,TPs Benefit,TR Time,TPs Time,cp Time,KeyLen,
871,473,472,463,454,459,467,448,447,472,
739,715,767,709,750,737,730,725,736,723,
1229,1265,1339,1285,1276,1263,1272,1226,1238,1257,
1458,1523,1508,1432,1486,1521,1458,1475,1573,1469,
2133,2166,2226,2320,2168,2169,2143,2219,2128,2131,
2691,2774,2782,2725,2752,2871,2800,2793,2762,2729,
114,103,105,100,102,99,102,105,102,105,
178,168,178,169,186,176,178,172,172,175,
316,329,325,329,328,321,330,316,315,319,
380,398,395,372,392,391,384,380,414,375,
554,549,551,589,551,535,545,563,535,547,
694,706,695,690,693,729,680,688,691,681,
345,340,346,328,328,331,341,323,323,336,
531,520,552,521,533,538,528,528,531,521,
894,915,989,931,925,921,922,887,899,909,
1056,1101,1087,1040,1075,1100,1052,1071,1137,1076,
1550,1592,1655,1710,1593,1613,1578,1636,1573,1566,
1967,2050,2060,2008,2027,2117,2091,2082,2047,2025,

